NAME,TYPE,LOCATION,
"exampleplan","App Service plan","East US"
"pranaviscgpkxh3csfs","Storage account","East US"
"Template-trainingiscgpkxh3csfs","App Service","East US"
"trail1iscgpkxh3csfs","Storage account","East US"
